County,State,CVD Mortality Rate,Poverty Rate,Bachelor's Degree or Higher (%),Disability Rate,Total Population,Unemployment Rate,Year,White Population (%),Hispanic Population (%),Black Population (%),Households with No Vehicle (%),Single Mother Families (%),Fips,Land-sea Mask,Mean Sea Level Pressure,Dust Aerosol (0.55-0.9 Μm) Mixing Ratio,Dust Aerosol (0.9-20 Μm) Mixing Ratio,Hydrophilic Black Carbon Aerosol Mixing Ratio,Hydrophobic Black Carbon Aerosol Mixing Ratio,Hydrophobic Organic Matter Aerosol Mixing Ratio,Sea Salt Aerosol (0.5-5 Μm) Mixing Ratio,Sea Salt Aerosol (5-20 Μm) Mixing Ratio,Sulphate Aerosol Mixing Ratio,"Leaf Area Index, High Vegetation","Leaf Area Index, Low Vegetation",Snow Depth,10m Wind Speed,Wet Bulb Temperature,FoT Carbonmonoxide Above75ᵗʰ Percentile,FoT Ethane Above75ᵗʰ Percentile,FoT Formaldehyde Above75ᵗʰ Percentile,FoT Hydroxyl Radical Above75ᵗʰ Percentile,FoT Nitric Acid Above75ᵗʰ Percentile,FoT Nitrogen Dioxide Above75ᵗʰ Percentile,FoT Nitrogen Monoxide Above75ᵗʰ Percentile,FoT Ozone Above75ᵗʰ Percentile,FoT PM$_{2.5}$ Above75ᵗʰ Percentile,FoT Propane Above75ᵗʰ Percentile,FoT Sulphur Dioxide Above75ᵗʰ Percentile,Cattle,Chicken,Duck,Goat,Horse,Pig,Sheep
Autauga County,Alabama,0.0032934452611278,11.6,24.4,15.0,54590.0,8.6,2012,78.92287964828724,2.399706906026745,18.09855284850705,5.136951941406642,10.95525319119091,1001,0.9864977345859374,101758.93967381545,1.2386014579568862e-09,4.2863309172035676e-10,2.007498236578445e-10,1.8923650114681574e-10,3.509370628296854e-09,2.212874886782554e-09,2.755504427525263e-10,2.546963597317686e-09,3.8772037615880985,2.677350857845567,0.0075819936056692,0.1841178496382363,15.187472549953284,31.28415300546448,35.41666666666667,53.620218579234965,22.131147540983605,26.87841530054645,28.551912568306008,9.187158469945356,49.45355191256831,43.64754098360656,24.795081967213115,56.52322404371585,765.4773474109818,1460.7331573095953,6.200551018683608,47.55683973563576,54.7802485232334,3.1991141836631227,13.548855141693103
Baldwin County,Alabama,0.0029505372419088,13.3,29.3,14.0,183226.0,8.5,2012,86.37365876021961,4.31980177485728,9.286891598353945,3.081744580830504,8.87618243567358,1003,0.6258030267290531,101740.05222506516,1.514344716877386e-09,4.916492453643536e-10,1.8432807086380523e-10,1.940062125207338e-10,2.707610585190952e-09,6.0260773730043605e-09,3.165289869489745e-09,2.076844756563163e-09,3.411881699344627,2.1874408788626134,0.0048548359177577,0.395215870637757,16.904170311776852,23.08743169398907,30.020491803278688,48.32650273224044,26.87841530054645,29.40573770491803,21.14071038251366,6.113387978142076,51.87841530054644,39.1051912568306,14.310109289617486,30.327868852459016,356.4862680110011,20.764892617068572,2.339870776773971,20.35861499051879,74.03311157734413,3.0382699838740796,4.505193710181718
Barbour County,Alabama,0.0030271686873148,26.1,13.0,20.5,27469.0,13.5,2012,48.957006079580616,4.969238050165641,46.033710728457535,9.975591637482754,16.3434469815452,1005,0.9879057696039736,101764.61715451715,1.220276573588262e-09,4.247080503693563e-10,2.1957403159102334e-10,2.740558300166434e-10,3.6110729535476004e-09,2.5560528576307124e-09,3.8651951543116126e-10,1.9759675577372942e-09,4.036021445949966,2.5044788645894824,0.0055604640147531,0.1748727059223568,15.617452889779416,29.132513661202186,32.8551912568306,52.732240437158474,21.51639344262295,23.25819672131147,18.066939890710383,5.293715846994536,48.66803278688525,39.00273224043716,20.25273224043716,11.475409836065571,595.6006115405157,150608.3069320989,6.572718733308083,11.807808487494,24.80775845778088,8.248659653706593,6.213882057467208
Bibb County,Alabama,0.0035657186551451,16.5,8.2,16.2,22769.0,10.5,2012,76.67881769071984,1.8402213535948,21.753261012780538,5.117790414297319,9.7667638483965,1007,0.9875372432349264,101757.71852221793,1.2180144471388664e-09,4.1024693649708565e-10,1.9363875507335722e-10,1.6477630666776122e-10,3.335892133707584e-09,2.020570326592036e-09,2.2728124791483089e-10,2.62109844378279e-09,3.704579375173288,2.7816506281193245,0.0100199187573019,0.2143103312919519,14.790830812565453,32.41120218579235,35.99726775956284,52.93715846994536,22.848360655737704,28.620218579234972,34.73360655737705,12.158469945355192,46.41393442622951,44.02322404371585,27.117486338797814,59.18715846994536,288.7822897969663,516.7395714612445,3.6572987108662582,15.41616625219712,42.51000520222447,20.036976497887288,2.4502062465771832
Blount County,Alabama,0.0030555823107152,14.7,12.0,17.3,57466.0,10.0,2012,94.8508683395399,8.084780565899836,1.3120801865450875,3.832437829870192,6.856959589480437,1009,0.9805003032625456,101770.8819355733,1.0534536501318427e-09,3.6109389256252153e-10,1.8817634164024818e-10,1.5993914712251248e-10,3.3953544623146163e-09,1.7002011697311339e-09,1.6845997659907878e-10,2.885672200107441e-09,3.3416457370970067,2.7749019354599755,0.0122085537894539,0.285994112781862,14.130283338289184,34.01639344262295,39.03688524590164,50.13661202185792,24.112021857923494,30.806010928961747,39.959016393442624,14.310109289617486,44.43306010928962,43.85245901639344,32.41120218579235,62.77322404371585,1692.63579377955,549287.1545441522,16.943383906434672,42.09694270665037,228.07244371616264,9.920152439857398,22.714804249487894
Bullock County,Alabama,0.0033168438923166,22.2,9.3,19.1,10779.0,14.3,2012,28.09165970869283,5.7797569347805915,70.59096391130902,16.016042780748663,17.39850869925435,1011,0.987794797086619,101764.02601783648,1.219134058666062e-09,4.2829986747194316e-10,2.1548526313092882e-10,2.5375706676863593e-10,3.5650022129945627e-09,2.4653263063655302e-09,3.545278833328937e-10,2.178898638383654e-09,3.958138799586544,2.589713447454217,0.0058858357218116,0.1752448001085722,15.336533509551966,30.566939890710383,34.93852459016394,53.449453551912576,22.370218579234972,23.49726775956284,21.85792349726776,8.435792349726775,47.404371584699454,40.60792349726776,22.6775956284153,30.703551912568305,432.0075002412811,38237.248642145074,9.799564040357502,22.35378584918832,45.62487547656551,0.7047383665733606,5.799302544558822
Butler County,Alabama,0.003426420756958,25.7,12.2,19.0,20730.0,13.8,2012,54.896285576459235,0.9792571152918476,43.227206946454416,10.1362130322739,17.193308550185872,1013,0.9825223341029348,101753.15551541874,1.34936734866346e-09,4.676216321126104e-10,2.1508786347522192e-10,2.4237032438652937e-10,3.503659016141243e-09,2.7165032166627375e-09,4.166205280173156e-10,2.09792308244714e-09,3.977537641556872,2.7000450149065807,0.0058402400936277,0.2007596735992417,15.747836892801178,27.561475409836067,30.84016393442623,52.86885245901639,22.165300546448087,25.239071038251364,18.510928961748636,5.08879781420765,50.51229508196722,41.154371584699454,14.959016393442624,12.841530054644808,327.6270034171425,183147.80316538003,3.326647665983982,21.17752938610819,43.49889143647142,23.76938977091848,5.799175950765518
Calhoun County,Alabama,0.0037270177934742,21.4,16.3,18.9,117834.0,13.3,2012,75.02503521903695,3.2571244292818715,20.724918105130943,6.1249016694344895,10.984139493645946,1015,0.981943635467002,101784.10024049472,8.905146531086782e-10,3.153789242532815e-10,1.9813968242376223e-10,2.0274830343060242e-10,4.037338331208715e-09,1.5736193932571194e-09,1.7055712822216737e-10,3.268488944037329e-09,3.4231073446129887,2.735336710736298,0.0107094542789208,0.3071636178866584,13.69575548516297,35.82650273224044,41.18852459016394,50.51229508196722,23.668032786885245,30.396174863387976,39.8224043715847,17.349726775956285,44.80874316939891,47.47267759562842,36.68032786885246,74.89754098360656,700.9145480358908,128682.470014004,10.90812380968711,42.39114782920572,191.0338245564225,36.593147880839695,4.897135515992105
Chambers County,Alabama,0.0032304788858342,23.3,11.7,21.0,34228.0,16.0,2012,58.931284328619846,1.621479490475634,39.17552880682482,8.940883086401644,14.752277271717396,1017,0.9850129361015164,101777.99640188208,9.899919510741052e-10,3.4967727541508356e-10,2.1115740830781226e-10,2.4258737339641177e-10,4.174604349460918e-09,1.915834712746015e-09,2.4240310942483e-10,3.081381596634088e-09,3.814065274233685,2.6548467598685273,0.0084844138667513,0.2639741838700403,14.581319501968352,36.6120218579235,41.87158469945355,52.86885245901639,24.2827868852459,29.26912568306011,38.490437158469945,17.93032786885246,45.21857923497268,47.84836065573771,35.99726775956284,70.86748633879782,901.1473875792713,397.03770071572785,6.284470108004918,21.357259306434432,72.65070404326345,10.15538868200628,3.7980299787945873
Cherokee County,Alabama,0.0031127938921134,19.5,11.9,20.5,25917.0,10.5,2012,92.88883744260524,1.2848709341358953,4.8346645059227535,3.9802687531893177,8.031330371755905,1019,0.9822534842820816,101784.34247640253,8.858096915417967e-10,3.1372338368469795e-10,1.9858922973440367e-10,2.0429905846804988e-10,4.060842630425564e-09,1.5699266691631747e-09,1.7060426150968588e-10,3.2676806812311783e-09,3.4299849382422987,2.733163028337604,0.0106585884047349,0.3080295787839238,13.684642945851827,38.69535519125683,43.75,49.18032786885246,23.668032786885245,30.908469945355193,43.20355191256831,20.799180327868857,43.23770491803279,48.46311475409836,41.56420765027322,74.86338797814209,631.7700967378809,265060.8129072199,11.194881826290132,28.582688379280413,84.19830067277182,56.79683757823654,32.366975050223445
